id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827147,1839377,0,0.0,0.0,0,0.0,0.0,2,1
1827147,1839400,0,0.0,0.0,0,0.0,0.0,0,1
1827147,1839417,0,0.0,0.0,0,0.0,0.0,0,1
1827147,1839425,0,0.0,0.0,0,0.0,0.0,2,1
1827147,1839440,0,0.0,0.0,0,0.0,0.0,1,1
1827147,1840052,0,0.0,0.0,0,0.0,0.0,0,1
1827147,1843185,0,0.0,0.0,0,0.0,0.0,2,1
1827147,1843191,0,0.0,0.0,0,0.0,0.0,2,1
1827147,1844229,0,0.0,0.0,0,0.0,0.0,1,1
1827147,1844233,0,0.0,0.0,0,0.0,0.0,2,1
1827147,1844509,0,0.0,0.0,0,0.0,0.0,1,1
1827147,1874123,0,0.0,0.0,0,0.0,0.0,1,1
1827152,1827155,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1829596,1,0.36926937306885504,0.045454545454545456,130,0.06666666666666667,0.5,0,-1
1827152,1830725,1,0.36926937306885504,0.058823529411764705,80,0.06666666666666667,0.5,0,-1
1827152,1832320,1,0.36926937306885504,0.07142857142857142,50,0.06666666666666667,0.5,0,-1
1827152,1835223,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1835383,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1835405,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1837252,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1839446,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1840104,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1840114,0,0.0,0.0,0,0.0,0.0,0,1
1827152,1843494,1,0.36926937306885504,0.058823529411764705,80,0.06666666666666667,0.5,0,-1
1827152,1847030,1,0.36926937306885504,0.05555555555555555,90,0.06666666666666667,0.5,0,-1
1827152,1868568,0,0.0,0.0,0,0.0,0.0,1,1
1827152,1868591,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1829596,1,0.36926937306885504,0.045454545454545456,130,0.06666666666666667,0.5,0,-1
1827155,1830725,1,0.36926937306885504,0.058823529411764705,80,0.06666666666666667,0.5,0,-1
1827155,1832320,1,0.36926937306885504,0.07142857142857142,50,0.06666666666666667,0.5,0,-1
1827155,1835223,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1835383,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1835405,0,0.0,0.0,0,0.0,0.0,2,1
1827155,1837252,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1839446,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1840104,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1840114,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1843494,1,0.36926937306885504,0.058823529411764705,80,0.06666666666666667,0.5,0,-1
1827155,1847030,1,0.36926937306885504,0.05555555555555555,90,0.06666666666666667,0.5,0,-1
1827155,1868568,0,0.0,0.0,0,0.0,0.0,0,1
1827155,1868591,0,0.0,0.0,0,0.0,0.0,0,1
